"date","I_0","I_1+","R_mean","R_q.025","R_q.975"
"2020-02-05",2,0,NA,NA,NA
"2020-02-06",0,0,NA,NA,NA
"2020-02-07",0,1,NA,NA,NA
"2020-02-08",0,0,NA,NA,NA
"2020-02-09",0,0,NA,NA,NA
"2020-02-10",0,1,NA,NA,NA
"2020-02-11",0,4,NA,NA,NA
"2020-02-12",0,0,NA,NA,NA
"2020-02-13",1,0,NA,NA,NA
"2020-02-14",0,0,NA,NA,NA
"2020-02-15",0,0,NA,NA,NA
"2020-02-16",0,0,NA,NA,NA
"2020-02-17",0,0,NA,NA,NA
"2020-02-18",0,0,NA,NA,NA
"2020-02-19",0,0,NA,NA,NA
"2020-02-20",0,0,NA,NA,NA
"2020-02-21",0,0,NA,NA,NA
"2020-02-22",0,0,NA,NA,NA
"2020-02-23",0,0,NA,NA,NA
"2020-02-24",0,0,NA,NA,NA
"2020-02-25",0,0,NA,NA,NA
"2020-02-26",0,0,NA,NA,NA
"2020-02-27",0,0,NA,NA,NA
"2020-02-28",0,3,NA,NA,NA
"2020-02-29",0,4,NA,NA,NA
"2020-03-01",0,3,NA,NA,NA
"2020-03-02",0,13,NA,NA,NA
"2020-03-03",0,3,NA,NA,NA
"2020-03-04",0,12,NA,NA,NA
"2020-03-05",0,38,NA,NA,NA
"2020-03-06",0,29,NA,NA,NA
"2020-03-07",0,49,3.68909346272082,3.11870020686984,4.30668177448503
"2020-03-08",0,43,3.12538833945266,2.69457759606328,3.58767872626683
"2020-03-09",0,67,2.81424501521904,2.47081446197854,3.17969810838191
"2020-03-10",0,46,2.43284123826729,2.15856265189402,2.72328607505342
"2020-03-11",0,50,2.10921878124556,1.88544332348038,2.3453614686131
"2020-03-12",0,87,1.94787997416462,1.7549427997262,2.15073426320487
"2020-03-13",0,134,2.07149524382342,1.88974486021911,2.26147089723452
"2020-03-14",0,208,2.29409520455181,2.11924421489604,2.47577831131483
"2020-03-15",0,342,2.72520653638898,2.55330393362145,2.90262997085844
"2020-03-16",0,251,2.51350460968815,2.36837404514032,2.66288990214799
"2020-03-17",0,152,2.0944192283891,1.9787615863544,2.21331543183501
"2020-03-18",0,407,2.15934280832189,2.05423538113544,2.26703574109203
"2020-03-19",0,672,2.41648610791189,2.31580376528485,2.51928077722998
"2020-03-20",0,647,2.37723251261972,2.28807354619503,2.46807173452929
"2020-03-21",0,706,2.20962910182232,2.13346688327598,2.28710838100201
"2020-03-22",0,1035,2.14588552442544,2.07881266682083,2.2140084693612
"2020-03-23",0,669,1.92676824369696,1.86953160291409,1.9848558584187
